id	reason
A0A178UA35	not returned by UniProt
A0A178UFM8	not returned by UniProt
A0A178UGH4	not returned by UniProt
A0A178UKR9	not returned by UniProt
A0A178ULT4	not returned by UniProt
A0A178UQA3	not returned by UniProt
A0A178URU7	not returned by UniProt
A0A178UXI0	not returned by UniProt
A0A178V0W2	not returned by UniProt
A0A178V4E1	not returned by UniProt
A0A178VFA3	not returned by UniProt
A0A178VMH7	not returned by UniProt
A0A178VQN9	not returned by UniProt
A0A178VS74	not returned by UniProt
A0A178VTR0	not returned by UniProt
A0A178VUV0	not returned by UniProt
A0A178W4T8	not returned by UniProt
A0A178WDD2	not returned by UniProt
A0A178WDM5	not returned by UniProt
A0A178WEE3	not returned by UniProt
A0A178WFR3	not returned by UniProt
A0A178WKB2	not returned by UniProt
A0A178WLV7	not returned by UniProt
A0A178WP44	not returned by UniProt
A0A384KQ28	not returned by UniProt
A0A384KVW9	not returned by UniProt
A0A384KX90	not returned by UniProt
A0A384KYS8	not returned by UniProt
A0A384KZU0	not returned by UniProt
A0A384L363	not returned by UniProt
A0A384L3L6	not returned by UniProt
A0A384LEC9	not returned by UniProt
A0A654F9U8	not returned by UniProt
F4JRB0-2	not returned by UniProt
O04719-1	not returned by UniProt
O22456-2	not returned by UniProt
O23409	not returned by UniProt
O23489	not returned by UniProt
O23552	not returned by UniProt
O49724	not returned by UniProt
O50068	not returned by UniProt
O64511-1	not returned by UniProt
O65440-2	not returned by UniProt
O65523	not returned by UniProt
O65539	not returned by UniProt
O81752	not returned by UniProt
O82286-2	not returned by UniProt
O82633	not returned by UniProt
P14712-1	not returned by UniProt
P25069	not returned by UniProt
P25854	not returned by UniProt
P29383-3	not returned by UniProt
P59227	not returned by UniProt
P59263	not returned by UniProt
Q38826-1	not returned by UniProt
Q38836-2	not returned by UniProt
Q38997-2	not returned by UniProt
Q39140-2	not returned by UniProt
Q3EAF9-2	not returned by UniProt
Q7XYY2-1	not returned by UniProt
Q84TE6-2	not returned by UniProt
Q8GUN5-2	not returned by UniProt
Q8LDK3	HTTP 400
Q8LDK5	HTTP 400
Q8LDM2	HTTP 400
Q8LE43	HTTP 400
Q8LE52	HTTP 400
Q8LE56	HTTP 400
Q8LE94	HTTP 400
Q8LEB2	HTTP 400
Q8LEM7	HTTP 400
Q8LEQ0	HTTP 400
Q8LF21	HTTP 400
Q8LF48	HTTP 400
Q8LF80	HTTP 400
Q8LF89	HTTP 400
Q8LFJ6	HTTP 400
Q8LFT2	HTTP 400
Q8LFV3	HTTP 400
Q8LG64	HTTP 400
Q8LG92	HTTP 400
Q8LGA1	HTTP 400
Q8LGC6	HTTP 400
Q8LGD5	HTTP 400
Q8LGE3	HTTP 400
Q8LGG0	HTTP 400
Q8LGH4	HTTP 400
Q8LGH4-PRO_0000396851	HTTP 400
Q8LGI3	HTTP 400
Q8LJT8	HTTP 400
Q8LPF0	HTTP 400
Q8LPH6	HTTP 400
Q8LPI7	HTTP 400
Q8LPJ4	HTTP 400
Q8LPK4	HTTP 400
Q8LPL5	HTTP 400
Q8LPN3	HTTP 400
Q8LPQ9	HTTP 400
Q8LPR4	HTTP 400
Q8LPS5	HTTP 400
Q8LSZ4	HTTP 400
Q8RUS5	HTTP 400
Q8RVL2	HTTP 400
Q8RWA2	HTTP 400
Q8RWA5	HTTP 400
Q8RWC9	HTTP 400
Q8RWD9	HTTP 400
Q8RWF0	HTTP 400
Q8RWF5	HTTP 400
Q8RWG8	HTTP 400
Q8RWK8	HTTP 400
Q8RWL4	HTTP 400
Q8RWQ1	HTTP 400
Q8RWQ8	HTTP 400
Q8RWV0	HTTP 400
Q8RWV3	HTTP 400
Q8RWV8	HTTP 400
Q8RWV9	HTTP 400
Q8RWW1	HTTP 400
Q8RWY0	HTTP 400
Q8RWY7	HTTP 400
Q8RWZ1	HTTP 400
Q8RWZ3	HTTP 400
Q8RWZ6	HTTP 400
Q8RX29	HTTP 400
Q8RX71	HTTP 400
Q8RXD5	HTTP 400
Q8RXD6	HTTP 400
Q8RXD7	HTTP 400
Q8RXE5	HTTP 400
Q8RXF1	HTTP 400
Q8RXF8	HTTP 400
Q8RXG3	HTTP 400
Q8RXK1	HTTP 400
Q8RXL7	HTTP 400
Q8RXL8	HTTP 400
Q8RXM5	HTTP 400
Q8RXN6	HTTP 400
Q8RXT8	HTTP 400
Q8RXW0	HTTP 400
Q8RXY4	HTTP 400
Q8RY08	HTTP 400
Q8RY17	HTTP 400
Q8RY18	HTTP 400
Q8RY37	HTTP 400
Q8RY59	HTTP 400
Q8RY60	HTTP 400
Q8RY65	HTTP 400
Q8RY71	HTTP 400
Q8RY74	HTTP 400
Q8RY79	HTTP 400
Q8RY84	HTTP 400
Q8RY99	HTTP 400
Q8RYD3	HTTP 400
Q8RYD9	HTTP 400
Q8RYE2	HTTP 400
Q8S2T0	HTTP 400
Q8S307	HTTP 400
Q8S397	HTTP 400
Q8S3D2	HTTP 400
Q8S3N1	HTTP 400
Q8S897	HTTP 400
Q8W2F2-2	not returned by UniProt
Q93ZB1-2	not returned by UniProt
Q94CK9-3	not returned by UniProt
Q9ASQ6-3	not returned by UniProt
Q9ASX2	not returned by UniProt
Q9AT76-1	not returned by UniProt
Q9FH18-1	not returned by UniProt
Q9FHN8-1	not returned by UniProt
Q9FNZ1-2	not returned by UniProt
Q9FVC1-2	not returned by UniProt
Q9FXF2-2	not returned by UniProt
Q9FXG8-1	not returned by UniProt
Q9FXG8-2	not returned by UniProt
Q9LD60	not returned by UniProt
Q9LEZ2	not returned by UniProt
Q9LIR4-1	not returned by UniProt
Q9LNX6	not returned by UniProt
Q9M089	not returned by UniProt
Q9M0B0	not returned by UniProt
Q9M0V3-1	not returned by UniProt
Q9M5P7	not returned by UniProt
Q9M8Y2	not returned by UniProt
Q9MAM1-4	not returned by UniProt
Q9SUA7	not returned by UniProt
Q9SV15-2	not returned by UniProt
Q9SVQ5	not returned by UniProt
Q9SXZ2-2	not returned by UniProt
Q9T097	not returned by UniProt
Q9XIJ3	not returned by UniProt
Q9ZPW3-2	not returned by UniProt
U5LV24	not returned by UniProt
