id	status	length	sequence_sha256	reason
A0A178UA35	missing	0		not returned by UniProt
A0A178UFM8	missing	0		not returned by UniProt
A0A178UGH4	missing	0		not returned by UniProt
A0A178UKR9	missing	0		not returned by UniProt
A0A178ULT4	missing	0		not returned by UniProt
A0A178UQA3	missing	0		not returned by UniProt
A0A178URU7	missing	0		not returned by UniProt
A0A178UXI0	missing	0		not returned by UniProt
A0A178V0W2	missing	0		not returned by UniProt
A0A178V4E1	missing	0		not returned by UniProt
A0A178VFA3	missing	0		not returned by UniProt
A0A178VMH7	missing	0		not returned by UniProt
A0A178VQN9	missing	0		not returned by UniProt
A0A178VS74	missing	0		not returned by UniProt
A0A178VTR0	missing	0		not returned by UniProt
A0A178VUV0	missing	0		not returned by UniProt
A0A178W4T8	missing	0		not returned by UniProt
A0A178WDD2	missing	0		not returned by UniProt
A0A178WDM5	missing	0		not returned by UniProt
A0A178WEE3	missing	0		not returned by UniProt
A0A178WFR3	missing	0		not returned by UniProt
A0A178WKB2	missing	0		not returned by UniProt
A0A178WLV7	missing	0		not returned by UniProt
A0A178WP44	missing	0		not returned by UniProt
A0A1I9LL75	retrieved	267	4e526f9e7f157074487c6e87b4a1956656613c44431867424f1e90e7a467112b	
A0A1I9LP47	retrieved	955	867097305a85c2f4917d6cbb3b71268ee72b24842a871152aa7b72ce21abeaad	
A0A1I9LQ12	retrieved	189	d74b884b673eaa387b35438fe13df4af2092c37d09590bb90b3b9dd52a0452f1	
A0A1I9LQ53	retrieved	672	2ae8ebc680df0407cf6bcde0f493331c5fab283085633b90f2539c983202b421	
A0A1P8ASI5	retrieved	1029	2489dc80b5916d60ed75597bfe450df46827b4e7f966e710f652999a9aa8e21d	
A0A1P8B1V0	retrieved	547	1524ca4ab3ecabc2f69e9902d018eca5e891915222eb902f468bc02e21fa5d5a	
A0A1P8B4Y6	retrieved	678	e707efea52cec64ec6574cfb54ce6d51d1ad98a90b2b7277ad2f7c2170530212	
A0A1P8B7M3	retrieved	324	8f4e5adcd50fef18530f4f63044bd62b13152e8b8669c34e8e7037c84f072744	
A0A1P8BAS1	retrieved	717	d2f03a449c91c2e7e445e16888aa98c79a9c53a1724a6134111f196b35970fa8	
A0A1P8BC43	retrieved	689	ba9a68c08731048b0b5fe871ee6c5a02006979675e35557cb5257dacda42cf76	
A0A1R7T3H0	retrieved	978	6210314d68df2c1ed2cedb5c0ee57e504cbab97fb6dab9909e76856476a22cb6	
A0A384KQ28	missing	0		not returned by UniProt
A0A384KVW9	missing	0		not returned by UniProt
A0A384KX90	missing	0		not returned by UniProt
A0A384KYS8	missing	0		not returned by UniProt
A0A384KZU0	missing	0		not returned by UniProt
A0A384L363	missing	0		not returned by UniProt
A0A384L3L6	missing	0		not returned by UniProt
A0A384LEC9	missing	0		not returned by UniProt
A0A654F9U8	missing	0		not returned by UniProt
A1A6M1	retrieved	387	86103ef20d7d92a7e5955088da7ff6367072696e871bda0a1d3b9ed550e0c612	
A1L4W5	retrieved	415	3a43ccb0a22a9e43a45c2688c620aaf9c2f9e9a5ca4b80fe50508d76d3a2a158	
A1L4X0	retrieved	431	33f9f0c0e6170b97bac178a765480669da8dc4f516ae93287e10da06d3899f7d	
A2RVS6	retrieved	300	08a6d6a1b6d6c6a3c18ffa194d1527106b6eaeae739e49bc11a43757c76dccad	
A2RVU3	retrieved	231	ad8e924c78a0d9512f06cb3c9d4e60c8b10d097570f1292db645948ae8d196fc	
A4D998	retrieved	223	4e3710c5a46deb629078ac22d6d42fff99ff2c62574fc0412b4f702e2716e0b6	
A4FVP6	retrieved	564	3898660215092ce984c1c12be76f4e3332f893735888c7c56fd0ee74c4664625	
A4VCM0	retrieved	479	7e00b0283baad8e00b0b1867f5d4bde19759d8e9cd857ac68f780456d03f100c	
A8MRZ8	retrieved	801	70785d353a011a22910521bc397fb6b5a074673320a0528bc020335ab21273f7	
A8MS32	retrieved	140	76c48ae9666829d9719e28058a122802a7ee368bffaea46688b87ff7a206d913	
A8MS70	retrieved	134	836ac4e548e62dd067e9a1368cd253fb97e3d585eefd7147de4f4da14f35a974	
A8MSE3	retrieved	276	211a0059d33379666fcc498ceb6d8e8f4a3f933b4000c0ce5b36e6e6b01b2b05	
A8R7E6	retrieved	617	405baa3a372f714a2159b641d1890b67fc06885a952c3bbde67f7d6d248e54d9	
A9LNK9	retrieved	631	3b1d84b255bf500c1e649d46f89e0862f3ea12a576a0233f907195c42479091d	
B3H506	retrieved	241	dc063ffafc68ef06f3c2ae17c9d8d8f4c0ba8949322a22db1b47024e2bdb4169	
B3H5I5	retrieved	67	b868ca974fb5b7242e1f23757a65e61dd311d10cc41e49dfd1d1bff6454bff3d	
B3H7H1	retrieved	409	8a089491d9321056fe0b977370a0d852e994aba9d80b9d27fda74851ae7c35ac	
B4F7R9	retrieved	251	9fbe4f2720bb28cdb7c6c290bde5182b69f6334b49e63b029523279848eb186d	
B5X0I6	retrieved	1091	b730cdbf1a7ac287321061abb23713755a59c8f45a9b0be334e4391ace07e44b	
B5X0N6	retrieved	597	236adebac27d3e5c584d45d7cf5cdabf8ab73e8b3107fb64f160fdc07343861b	
B5X4Z4	retrieved	613	0422fe6ba4a9c87bbcdff7eeb157e27a288ee83d02daeb03cc3b50889bd70606	
B7U179	retrieved	737	4835ae8f33915c0f90b29dbb684cedf5c11350f778dd4b9aace81643f2b99122	
B9DFI7	retrieved	616	bbf18cd47cfc639fe1df63fc495ddef1b8eb9de297bc01864c098af45c2a6dc1	
B9DFS6	retrieved	572	ec22334122e1f5891ab721f705ca4010de7478aa6f2379e35c7eb446c2a7f422	
B9DG73	retrieved	226	695e0108d888c86f9d8b5f3e849f721f33a9647c95af8e1b2fb52a191603449c	
B9DG86	retrieved	409	8e165de9a7585dabd5a550acaf5b847030afd1ac07b77f56644ebd12597caef0	
B9DGA1	retrieved	361	97241c2b86aa8a8c4c38fce04b4b5fffe20bb3d68dc6786ad7c9383399b451ed	
B9DGD1	retrieved	430	e6db5692dbe3027f9a259fa5f869de72f28c97226efef712db54976e0263519c	
B9DGD6	retrieved	743	ac29b2a3618ff7df48ae93ee5ce42fe75ae990915311ef1abf911c27700e4537	
B9DGI8	retrieved	314	2835244e6abc6b2952119eba774694d1759adaabd8a59928f33536dbdc459d5f	
B9DHT4	retrieved	710	4c21621a4956128068cf9536011968ca53745f86ab6dd2f88d94fe86ea0af4ee	
C0LGD6	retrieved	852	0be21ccd59e748c6281aa5bd04e9b98bde339c61d7ea8f1b4e8f7d5586450836	
C0LGH4	retrieved	1012	ca7ea42c805f4698351a964dede1da7f4df72d2cf260c65c337fa6d5504d93f5	
C0LGI2	retrieved	929	0b2527d2431534920215d6eb346e52e8f8690117809c31e3eda97254542f3ad6	
C0LGN2	retrieved	1020	90a215fcc1d66cf799c3ec353bd3b20041d803f1ffa39480ef5729ddfc98c6b9	
C0LGP3	retrieved	1009	95d65ca06f32ba07b4289bbdeaffa4a453461923a5b7794cf8662e3405579fe8	
C0LGP4	retrieved	1010	9249226ccd92723f6acc836a1eef09669c83a46d0c309f7498a54b20d9bef910	
C0LGR3	retrieved	1091	324c0620aab9e4cbd27deb36138ec733857f72aca84c1780ecc49843e6388fbd	
C0LGR9	retrieved	676	d7847de44de06b4a5390a66b1e1d611df7278553e9840d42c1ee66587efb87a2	
C0LGS2	retrieved	1136	600018441669e542b487bbbd2988fef22faaec59d7eff21a65007c3a0cbe906b	
C0LGU7	retrieved	695	06fe760bd2bdfdfdd8e0e69070101cbfccbaf88247cb6980449cbee30af8695f	
C0LGW6	retrieved	966	39176cd47cdf801860f4b934d5fa7ecb69a24407fbea5c64eea9b0f8eaea9e3d	
C0SUW7	retrieved	398	a439b982cfd8d4b1e0ad34ca1fe1cfe6d5d431b112d3e696a682c86636624310	
C0SV91	retrieved	183	4c3a235d44f9be4aabba8c50c7fbfa2ae6471f28324350f7b7cb2e996c825133	
C0SVN2	retrieved	420	c8f026d47a7d5e094d996a46d8c1cac46e8fed30cf57fe65b369ff19f31251a8	
C6KIE6	retrieved	861	e6459290b0b122ec49944351deb9d6ac16780559acc120bb2ad2a37f399391ff	
D3K0M2	retrieved	158	8cd182fd03f3bf856ccc73be4f16b5f93f9810d981c2da1ca536835a22594d3a	
F4HPA7	retrieved	189	0a75b7ba411ce934856e4f102b6f74572bedbd9a8a30c6022d7e88d6dcff2544	
F4HQ22	retrieved	617	3ec255489c4891019169fd504a3f9ec289028312f455b38d81e4388717a2fb59	
F4HTE0	retrieved	385	904cff8ff701c03dc0aefd69746a5b9ce848ed7f5c17370337a107c4e25e0715	
F4HTH8	retrieved	1181	a144bafeaf945b29d0d143f130c80a9147690a7b276bc811870da9006628904e	
F4HVM3	retrieved	356	c20a978c9d686429cac4e8eb2ac73e1050aab00bee78fe4c8917e49b0e46c814	
F4HXZ1	retrieved	846	390bcfd4d5c70d1c75bdac07f63485fce01ad2cdac4abd0c8650c3f0bceed524	
F4HZB2	retrieved	3601	dc3e67a739c3002f195f9b38d54cf80e4cf31e61281acb93a9c98e22e17825fe	
F4HZY9	retrieved	460	4a3ed7616cac30eb98cd7d609f4df2e193e8e18d12fdfe5d577e9a1564d8bd20	
F4I065	retrieved	888	0a2b6fdf99acbe2203390a30fa17127a76fe61f64347708f7d4233b7db6a9015	
F4I0P9	retrieved	297	169a22a07df9f1dbb64fc5927c2805378907f040a3a9689ff8c870adbb8d060b	
F4I1G5	retrieved	226	f2b1753d3e7695378234e1a88466cf7658812b4f6b3dbd96c40f8c3b085842c5	
F4I1K2	retrieved	489	5ceab39e70fba4a28b1271c64bee16a284ce06332a9e7f4c1c6a19d9c45daa6b	
F4I3C3	retrieved	652	2d8fdb9bab9a78e23c046defa00ae57479c865d27242cc13d57e86ee7b705ea5	
F4I3V3	retrieved	636	61ffb62410f0b3db53832b4759c7bc8aaaf20ab56a096a6f561bffe4fa55e5c5	
F4I420	retrieved	1294	5514e67392e806a76cd2c2a1a5f581085793624069a73711c7727f4868d95f58	
F4I421	retrieved	1166	13f6da8fa12f205ad6c1eda694201b64e881d35557b041d9b3c3ebb99b2e7f2c	
