source_row	uniprot_A	uniprot_B	label	a_length	b_length	reason
18	C0LGH4	P25854	positive	1012		sequence_missing_B
24	C0LGU7	Q8VZG8	positive	695	1045	sequence_B_exceeds_max_length
29	D3K0M2	P25854	positive	158		sequence_missing_B
34	F4HTH8	Q9SEX2	positive	1181	523	sequence_A_exceeds_max_length
35	F4HZB2	Q9SJF3	positive	3601	367	sequence_A_exceeds_max_length
37	F4IAG2	F4IAG2	positive	1042	1042	sequence_A_and_B_exceed_max_length
40	F4IHS2	O22456	positive	3574	251	sequence_A_exceeds_max_length
41	F4IHS2	Q00958	positive	3574	420	sequence_A_exceeds_max_length
42	F4IIM1	O48946	positive	2150	1081	sequence_A_and_B_exceed_max_length
43	F4IIM1	Q941L0	positive	2150	1065	sequence_A_and_B_exceed_max_length
44	F4IIM1	Q94JQ6	positive	2150	1084	sequence_A_and_B_exceed_max_length
45	F4IIU4	Q9FHN8	positive	1708	1260	sequence_A_and_B_exceed_max_length
46	F4IS56	P25854	positive	479		sequence_missing_B
49	F4J8D3	F4J8D3	positive	1176	1176	sequence_A_and_B_exceed_max_length
50	F4J8D3	O04209	positive	1176	258	sequence_A_exceeds_max_length
51	F4J8D3	Q0WLB5	positive	1176	1703	sequence_A_and_B_exceed_max_length
52	F4JS25	Q9FPR2	positive	1052	209	sequence_A_exceeds_max_length
56	F4K6B8	O23320	positive	1090	151	sequence_A_exceeds_max_length
57	F4K6B8	P25071	positive	1090	324	sequence_A_exceeds_max_length
58	F4K6B8	P25854	positive	1090		sequence_missing_B
59	F4K6B8	P30187	positive	1090	191	sequence_A_exceeds_max_length
60	F4K6B8	P59220	positive	1090	149	sequence_A_exceeds_max_length
61	F4K6B8	Q03509	positive	1090	149	sequence_A_exceeds_max_length
62	F4K6B8	Q9S744	positive	1090	151	sequence_A_exceeds_max_length
71	O04204	Q8LEQ0	positive	317		sequence_missing_B
73	O04209	Q0WLB5	positive	258	1703	sequence_B_exceeds_max_length
76	O04336	P25069	positive	380		sequence_missing_B
79	O04492	Q3EBC8	positive	419	1388	sequence_B_exceeds_max_length
