protein_id	sequence_length	status	reason
A0A1I9LL75	267	eligible	within_max_length
A0A1I9LP47	955	eligible	within_max_length
A0A1I9LQ12	189	eligible	within_max_length
A0A1I9LQ53	672	eligible	within_max_length
A0A1P8ASI5	1029	excluded_length	sequence_exceeds_max_length
A0A1P8B1V0	547	eligible	within_max_length
A0A1P8B4Y6	678	eligible	within_max_length
A0A1P8B7M3	324	eligible	within_max_length
A0A1P8BAS1	717	eligible	within_max_length
A0A1P8BC43	689	eligible	within_max_length
A0A1R7T3H0	978	eligible	within_max_length
A1A6M1	387	eligible	within_max_length
A1L4W5	415	eligible	within_max_length
A1L4X0	431	eligible	within_max_length
A2RVS6	300	eligible	within_max_length
A2RVU3	231	eligible	within_max_length
A4D998	223	eligible	within_max_length
A4FVP6	564	eligible	within_max_length
A4VCM0	479	eligible	within_max_length
A8MRZ8	801	eligible	within_max_length
A8MS32	140	eligible	within_max_length
A8MS70	134	eligible	within_max_length
A8MSE3	276	eligible	within_max_length
A8R7E6	617	eligible	within_max_length
A9LNK9	631	eligible	within_max_length
B3H506	241	eligible	within_max_length
B3H5I5	67	eligible	within_max_length
B3H7H1	409	eligible	within_max_length
B4F7R9	251	eligible	within_max_length
B5X0I6	1091	excluded_length	sequence_exceeds_max_length
B5X0N6	597	eligible	within_max_length
B5X4Z4	613	eligible	within_max_length
B7U179	737	eligible	within_max_length
B9DFI7	616	eligible	within_max_length
B9DFS6	572	eligible	within_max_length
B9DG73	226	eligible	within_max_length
B9DG86	409	eligible	within_max_length
B9DGA1	361	eligible	within_max_length
B9DGD1	430	eligible	within_max_length
B9DGD6	743	eligible	within_max_length
B9DGI8	314	eligible	within_max_length
B9DHT4	710	eligible	within_max_length
C0LGD6	852	eligible	within_max_length
C0LGH4	1012	eligible	within_max_length
C0LGI2	929	eligible	within_max_length
C0LGN2	1020	eligible	within_max_length
C0LGP3	1009	eligible	within_max_length
C0LGP4	1010	eligible	within_max_length
C0LGR3	1091	excluded_length	sequence_exceeds_max_length
C0LGR9	676	eligible	within_max_length
C0LGS2	1136	excluded_length	sequence_exceeds_max_length
C0LGU7	695	eligible	within_max_length
C0LGW6	966	eligible	within_max_length
C0SUW7	398	eligible	within_max_length
C0SV91	183	eligible	within_max_length
C0SVN2	420	eligible	within_max_length
C6KIE6	861	eligible	within_max_length
D3K0M2	158	eligible	within_max_length
F4HPA7	189	eligible	within_max_length
F4HQ22	617	eligible	within_max_length
F4HTE0	385	eligible	within_max_length
F4HTH8	1181	excluded_length	sequence_exceeds_max_length
F4HVM3	356	eligible	within_max_length
F4HXZ1	846	eligible	within_max_length
F4HZB2	3601	excluded_length	sequence_exceeds_max_length
F4HZY9	460	eligible	within_max_length
F4I065	888	eligible	within_max_length
F4I0P9	297	eligible	within_max_length
F4I1G5	226	eligible	within_max_length
F4I1K2	489	eligible	within_max_length
F4I3C3	652	eligible	within_max_length
F4I3V3	636	eligible	within_max_length
F4I420	1294	excluded_length	sequence_exceeds_max_length
F4I421	1166	excluded_length	sequence_exceeds_max_length
F4I4R0	408	eligible	within_max_length
F4I5D7	509	eligible	within_max_length
F4I672	460	eligible	within_max_length
F4I6M4	821	eligible	within_max_length
F4I764	362	eligible	within_max_length
F4I7I0	543	eligible	within_max_length
F4I8E9	557	eligible	within_max_length
F4I9J8	513	eligible	within_max_length
F4IAG2	1042	excluded_length	sequence_exceeds_max_length
F4ICX9	759	eligible	within_max_length
F4IE21	228	eligible	within_max_length
F4IEM5	410	eligible	within_max_length
F4IFC5	650	eligible	within_max_length
F4IG60	136	eligible	within_max_length
F4IH98	133	eligible	within_max_length
F4IHL3	641	eligible	within_max_length
F4IHS2	3574	excluded_length	sequence_exceeds_max_length
F4IHS9	342	eligible	within_max_length
F4II29	798	eligible	within_max_length
F4IIM1	2150	excluded_length	sequence_exceeds_max_length
F4IIU4	1708	excluded_length	sequence_exceeds_max_length
F4IK01	299	eligible	within_max_length
F4IM73	496	eligible	within_max_length
F4IPE3	445	eligible	within_max_length
F4IS00	405	eligible	within_max_length
F4IS56	479	eligible	within_max_length
F4ISG1	631	eligible	within_max_length
F4ITL6	250	eligible	within_max_length
F4IUW3	550	eligible	within_max_length
F4IVJ8	1826	excluded_length	sequence_exceeds_max_length
F4IVZ7	441	eligible	within_max_length
F4IX22	1254	excluded_length	sequence_exceeds_max_length
F4IX26	313	eligible	within_max_length
F4IYD1	371	eligible	within_max_length
F4IZC0	493	eligible	within_max_length
F4IZC5	323	eligible	within_max_length
F4J030	399	eligible	within_max_length
F4J0W4	643	eligible	within_max_length
F4J153	607	eligible	within_max_length
F4J220	279	eligible	within_max_length
F4J2K4	1273	excluded_length	sequence_exceeds_max_length
F4J5M9	258	eligible	within_max_length
F4J6I6	507	eligible	within_max_length
F4J819	705	eligible	within_max_length
F4J8D3	1176	excluded_length	sequence_exceeds_max_length
F4JCR2	1606	excluded_length	sequence_exceeds_max_length
F4JKK0	1108	excluded_length	sequence_exceeds_max_length
F4JL28	234	eligible	within_max_length
F4JMN0	201	eligible	within_max_length
F4JP43	2037	excluded_length	sequence_exceeds_max_length
F4JP79	514	eligible	within_max_length
F4JP94	277	eligible	within_max_length
F4JQ95	492	eligible	within_max_length
F4JRR5	421	eligible	within_max_length
F4JS25	1052	excluded_length	sequence_exceeds_max_length
F4JSU0	305	eligible	within_max_length
F4JT76	1034	excluded_length	sequence_exceeds_max_length
F4JTI1	782	eligible	within_max_length
F4JVI3	493	eligible	within_max_length
F4JVN6	1380	excluded_length	sequence_exceeds_max_length
F4JXH7	987	eligible	within_max_length
F4JY84	459	eligible	within_max_length
F4JZD5	270	eligible	within_max_length
F4K0E8	741	eligible	within_max_length
