uniprot_A	uniprot_B	locus_A	locus_B	label	interaction_type	miscore_max	n_evidences	methods
A1L4W5	Q8H1E4	At3g43700	At1g78080	positive	MI:0407	0.44	1	MI:0096
A8R7E6	A8R7E6	At3g21630	At3g21630	positive	MI:0407	0.65	4	MI:0007;MI:0071;MI:0077;MI:0096
A9LNK9	O82312	At1g30460	At2g25850	positive	MI:0407	0.65	3	MI:0018;MI:0096
A9LNK9	Q8GUP1	At1g30460	At1g17760	positive	MI:0407	0.59	2	MI:0018;MI:0096
A9LNK9	Q9LKF9	At1g30460	At5g23880	positive	MI:0407	0.65	3	MI:0018;MI:0096
B4F7R9	P17839		At4g18960	positive	MI:0407	0.53	3	MI:0007;MI:0018
B7U179	Q710E8	At5g13060	At4g14700	positive	MI:0407	0.65	9	MI:0006;MI:0018;MI:0096
B7U179	Q9C758	At5g13060	At1g30210	positive	MI:0407	0.6	4	MI:0006;MI:0096
B7U179	Q9M1S9	At5g13060	At3g54710	positive	MI:0407	0.53	2	MI:0018;MI:0096
B7U179	Q9SJW9	At5g13060	At2g31270	positive	MI:0407	0.58	3	MI:0006;MI:0018;MI:0096
B7U179	Q9SU24	At5g13060	At4g12620	positive	MI:0407	0.53	2	MI:0018;MI:0096
B9DG86	F4K210	At5g07890	At5g61200	positive	MI:0407	0.56	4	MI:0018;MI:0096;MI:0416
B9DGI8	B9DGI8	At5g28770	At5g28770	positive	MI:0407	0.57	2	MI:0018;MI:0809
B9DGI8	Q9LZP8	At5g28770	At3g62420	positive	MI:0407	0.73	8	MI:0018;MI:0096;MI:0397
C0LGH4	O23320	At1g56145	At4g14640	positive	MI:0407	0.44	1	MI:0089
C0LGH4	P25071	At1g56145	At2g41100	positive	MI:0407	0.44	1	MI:0089
C0LGH4	P30187	At1g56145	At2g41090	positive	MI:0407	0.44	1	MI:0089
C0LGH4	P59220	At1g56145	At3g43810	positive	MI:0407	0.44	1	MI:0089
C0LGH4	Q03509	At1g56145	At5g21274	positive	MI:0407	0.44	1	MI:0089
C0LGH4	Q9S744	At1g56145	At3g51920	positive	MI:0407	0.44	1	MI:0089
C0LGU7	Q4VP08	At5g45840	At5g43510	positive	MI:0407	0.64	5	MI:0007;MI:0096;MI:1247
C0LGU7	Q8VZG8	At5g45840	At4g08850	positive	MI:0407	0.65	5	MI:0007;MI:0018;MI:0096;MI:0809
C0LGU7	Q9M0G7	At5g45840	At4g28650	positive	MI:0407	0.65	7	MI:0007;MI:0018;MI:0096;MI:0809
C6KIE6	Q9XIB5	At4g34390	At1g49480	positive	MI:0407	0.59	4	MI:0007;MI:0018;MI:0096
D3K0M2	O23320	At3g17600	At4g14640	positive	MI:0407	0.44	1	MI:0089
D3K0M2	P25071	At3g17600	At2g41100	positive	MI:0407	0.44	1	MI:0089
D3K0M2	P30187	At3g17600	At2g41090	positive	MI:0407	0.44	1	MI:0089
D3K0M2	P59220	At3g17600	At3g43810	positive	MI:0407	0.44	1	MI:0089
D3K0M2	Q03509	At3g17600	At5g21274	positive	MI:0407	0.54	2	MI:0007;MI:0089
D3K0M2	Q9S744	At3g17600	At3g51920	positive	MI:0407	0.44	1	MI:0089
F4HTH8	Q9SEX2	At1g61210	At1g80350	positive	MI:0407	0.53	3	MI:0007;MI:0018
F4HZB2	Q9SJF3	At1g03060	At1g08370	positive	MI:0407	0.61	5	MI:0018;MI:0055;MI:0096;MI:0809
F4HZY9	Q944A6	At1g35580	At1g09020	positive	MI:0407	0.53	2	MI:0007;MI:0809
