source_row	uniprot_A	uniprot_B	label	a_sequence	b_sequence	a_length	b_length	a_within_max_length	b_within_max_length	decision	reason
2	A1L4W5	Q8H1E4	positive	True	True	415	334	True	True	kept	both_sequences_available_within_max_length
3	A8R7E6	A8R7E6	positive	True	True	617	617	True	True	kept	both_sequences_available_within_max_length
4	A9LNK9	O82312	positive	True	True	631	800	True	True	kept	both_sequences_available_within_max_length
5	A9LNK9	Q8GUP1	positive	True	True	631	734	True	True	kept	both_sequences_available_within_max_length
6	A9LNK9	Q9LKF9	positive	True	True	631	739	True	True	kept	both_sequences_available_within_max_length
7	B4F7R9	P17839	positive	True	True	251	252	True	True	kept	both_sequences_available_within_max_length
8	B7U179	Q710E8	positive	True	True	737	809	True	True	kept	both_sequences_available_within_max_length
9	B7U179	Q9C758	positive	True	True	737	324	True	True	kept	both_sequences_available_within_max_length
10	B7U179	Q9M1S9	positive	True	True	737	486	True	True	kept	both_sequences_available_within_max_length
11	B7U179	Q9SJW9	positive	True	True	737	571	True	True	kept	both_sequences_available_within_max_length
12	B7U179	Q9SU24	positive	True	True	737	813	True	True	kept	both_sequences_available_within_max_length
13	B9DG86	F4K210	positive	True	True	409	389	True	True	kept	both_sequences_available_within_max_length
14	B9DGI8	B9DGI8	positive	True	True	314	314	True	True	kept	both_sequences_available_within_max_length
15	B9DGI8	Q9LZP8	positive	True	True	314	146	True	True	kept	both_sequences_available_within_max_length
16	C0LGH4	O23320	positive	True	True	1012	151	True	True	kept	both_sequences_available_within_max_length
17	C0LGH4	P25071	positive	True	True	1012	324	True	True	kept	both_sequences_available_within_max_length
18	C0LGH4	P25854	positive	True	False	1012		True	False	removed	sequence_missing_B
19	C0LGH4	P30187	positive	True	True	1012	191	True	True	kept	both_sequences_available_within_max_length
20	C0LGH4	P59220	positive	True	True	1012	149	True	True	kept	both_sequences_available_within_max_length
21	C0LGH4	Q03509	positive	True	True	1012	149	True	True	kept	both_sequences_available_within_max_length
22	C0LGH4	Q9S744	positive	True	True	1012	151	True	True	kept	both_sequences_available_within_max_length
23	C0LGU7	Q4VP08	positive	True	True	695	90	True	True	kept	both_sequences_available_within_max_length
24	C0LGU7	Q8VZG8	positive	True	True	695	1045	True	False	removed	sequence_B_exceeds_max_length
25	C0LGU7	Q9M0G7	positive	True	True	695	1013	True	True	kept	both_sequences_available_within_max_length
26	C6KIE6	Q9XIB5	positive	True	True	861	226	True	True	kept	both_sequences_available_within_max_length
27	D3K0M2	O23320	positive	True	True	158	151	True	True	kept	both_sequences_available_within_max_length
28	D3K0M2	P25071	positive	True	True	158	324	True	True	kept	both_sequences_available_within_max_length
29	D3K0M2	P25854	positive	True	False	158		True	False	removed	sequence_missing_B
30	D3K0M2	P30187	positive	True	True	158	191	True	True	kept	both_sequences_available_within_max_length
31	D3K0M2	P59220	positive	True	True	158	149	True	True	kept	both_sequences_available_within_max_length
32	D3K0M2	Q03509	positive	True	True	158	149	True	True	kept	both_sequences_available_within_max_length
33	D3K0M2	Q9S744	positive	True	True	158	151	True	True	kept	both_sequences_available_within_max_length
34	F4HTH8	Q9SEX2	positive	True	True	1181	523	False	True	removed	sequence_A_exceeds_max_length
35	F4HZB2	Q9SJF3	positive	True	True	3601	367	False	True	removed	sequence_A_exceeds_max_length
36	F4HZY9	Q944A6	positive	True	True	460	487	True	True	kept	both_sequences_available_within_max_length
37	F4IAG2	F4IAG2	positive	True	True	1042	1042	False	False	removed	sequence_A_and_B_exceed_max_length
38	F4IEM5	P18064	positive	True	True	410	383	True	True	kept	both_sequences_available_within_max_length
39	F4IFC5	P82805	positive	True	True	650	187	True	True	kept	both_sequences_available_within_max_length
40	F4IHS2	O22456	positive	True	True	3574	251	False	True	removed	sequence_A_exceeds_max_length
41	F4IHS2	Q00958	positive	True	True	3574	420	False	True	removed	sequence_A_exceeds_max_length
42	F4IIM1	O48946	positive	True	True	2150	1081	False	False	removed	sequence_A_and_B_exceed_max_length
43	F4IIM1	Q941L0	positive	True	True	2150	1065	False	False	removed	sequence_A_and_B_exceed_max_length
44	F4IIM1	Q94JQ6	positive	True	True	2150	1084	False	False	removed	sequence_A_and_B_exceed_max_length
45	F4IIU4	Q9FHN8	positive	True	True	1708	1260	False	False	removed	sequence_A_and_B_exceed_max_length
46	F4IS56	P25854	positive	True	False	479		True	False	removed	sequence_missing_B
47	F4IS56	Q9S744	positive	True	True	479	151	True	True	kept	both_sequences_available_within_max_length
48	F4IZC5	Q8H0X6	positive	True	True	323	234	True	True	kept	both_sequences_available_within_max_length
49	F4J8D3	F4J8D3	positive	True	True	1176	1176	False	False	removed	sequence_A_and_B_exceed_max_length
50	F4J8D3	O04209	positive	True	True	1176	258	False	True	removed	sequence_A_exceeds_max_length
51	F4J8D3	Q0WLB5	positive	True	True	1176	1703	False	False	removed	sequence_A_and_B_exceed_max_length
52	F4JS25	Q9FPR2	positive	True	True	1052	209	False	True	removed	sequence_A_exceeds_max_length
53	F4K210	O49160	positive	True	True	389	900	True	True	kept	both_sequences_available_within_max_length
54	F4K210	Q42347	positive	True	True	389	164	True	True	kept	both_sequences_available_within_max_length
55	F4K210	Q9LD55	positive	True	True	389	987	True	True	kept	both_sequences_available_within_max_length
56	F4K6B8	O23320	positive	True	True	1090	151	False	True	removed	sequence_A_exceeds_max_length
57	F4K6B8	P25071	positive	True	True	1090	324	False	True	removed	sequence_A_exceeds_max_length
58	F4K6B8	P25854	positive	True	False	1090		False	False	removed	sequence_missing_B
59	F4K6B8	P30187	positive	True	True	1090	191	False	True	removed	sequence_A_exceeds_max_length
60	F4K6B8	P59220	positive	True	True	1090	149	False	True	removed	sequence_A_exceeds_max_length
61	F4K6B8	Q03509	positive	True	True	1090	149	False	True	removed	sequence_A_exceeds_max_length
62	F4K6B8	Q9S744	positive	True	True	1090	151	False	True	removed	sequence_A_exceeds_max_length
63	F4KBF5	F4KBF5	positive	True	True	282	282	True	True	kept	both_sequences_available_within_max_length
64	F4KCL7	Q9LHE5	positive	True	True	603	309	True	True	kept	both_sequences_available_within_max_length
65	O04027	Q9LX49	positive	True	True	139	287	True	True	kept	both_sequences_available_within_max_length
66	O04197	Q39255	positive	True	True	592	160	True	True	kept	both_sequences_available_within_max_length
67	O04197	Q8W4J8	positive	True	True	592	267	True	True	kept	both_sequences_available_within_max_length
68	O04197	Q9LMA8	positive	True	True	592	253	True	True	kept	both_sequences_available_within_max_length
69	O04197	Q9LVI4	positive	True	True	592	352	True	True	kept	both_sequences_available_within_max_length
70	O04203	Q944A6	positive	True	True	435	487	True	True	kept	both_sequences_available_within_max_length
71	O04204	Q8LEQ0	positive	True	False	317		True	False	removed	sequence_missing_B
72	O04209	O04209	positive	True	True	258	258	True	True	kept	both_sequences_available_within_max_length
73	O04209	Q0WLB5	positive	True	True	258	1703	True	False	removed	sequence_B_exceeds_max_length
74	O04292	Q9LEZ3	positive	True	True	841	529	True	True	kept	both_sequences_available_within_max_length
75	O04292	Q9SAD4	positive	True	True	841	328	True	True	kept	both_sequences_available_within_max_length
76	O04336	P25069	positive	True	False	380		True	False	removed	sequence_missing_B
77	O04336	P59220	positive	True	True	380	149	True	True	kept	both_sequences_available_within_max_length
78	O04492	O04492	positive	True	True	419	419	True	True	kept	both_sequences_available_within_max_length
79	O04492	Q3EBC8	positive	True	True	419	1388	True	False	removed	sequence_B_exceeds_max_length
80	O04492	Q8GY79	positive	True	True	419	393	True	True	kept	both_sequences_available_within_max_length
81	O04492	Q9SP32	positive	True	True	419	1909	True	False	removed	sequence_B_exceeds_max_length
82	O04567	P25854	positive	True	False	601		True	False	removed	sequence_missing_B
83	O04567	P30187	positive	True	True	601	191	True	True	kept	both_sequences_available_within_max_length
84	O04567	P59220	positive	True	True	601	149	True	True	kept	both_sequences_available_within_max_length
85	O04567	Q03509	positive	True	True	601	149	True	True	kept	both_sequences_available_within_max_length
86	O04567	Q9S744	positive	True	True	601	151	True	True	kept	both_sequences_available_within_max_length
87	O04603	Q67XX3	positive	True	True	262	502	True	True	kept	both_sequences_available_within_max_length
88	O04663	P38418	positive	True	True	198	896	True	True	kept	both_sequences_available_within_max_length
89	O04663	Q9SMW7	positive	True	True	198	165	True	True	kept	both_sequences_available_within_max_length
90	O04714	P18064	positive	True	True	326	383	True	True	kept	both_sequences_available_within_max_length
91	O04719	Q84JG2	positive	True	True	423	469	True	True	kept	both_sequences_available_within_max_length
92	O04719	Q84MC7	positive	True	True	423	187	True	True	kept	both_sequences_available_within_max_length
93	O04719-1	O49686	positive	False	True		191	False	True	removed	sequence_missing_A
94	O04719-1	O80920	positive	False	True		207	False	True	removed	sequence_missing_A
95	O04719-1	O80992	positive	False	True		190	False	True	removed	sequence_missing_A
96	O04719-1	Q39192	positive	False	True		362	False	True	removed	sequence_missing_A
97	O04719-1	Q39193	positive	False	True		361	False	True	removed	sequence_missing_A
98	O04719-1	Q8S8E3	positive	False	True		215	False	True	removed	sequence_missing_A
99	O04719-1	Q8VZS8	positive	False	True		221	False	True	removed	sequence_missing_A
100	O04719-1	Q940H6	positive	False	True		362	False	True	removed	sequence_missing_A
101	O04719-1	Q9FLB1	positive	False	True		203	False	True	removed	sequence_missing_A
102	O04719-1	Q9SSM7	positive	False	True		209	False	True	removed	sequence_missing_A
103	O22042	Q03509	positive	True	True	651	149	True	True	kept	both_sequences_available_within_max_length
104	O22176	P25069	positive	True	False	317		True	False	removed	sequence_missing_B
